no,dtw,lintang,bujur,wadmkd,total
217,Pancoh,-7.636589,110.394955,Girikerto,6249
218,Pelangi Progo,-7.775523,110.222961,Sumberarum,0
219,Pendidikan dan Ketahanan Pangan Dukuh,-7.700424,110.360574,Pandowoharjo,2472
220,Pendulan,-7.767489,110.247874,Sumberagung,2472
221,Pengklik,-7.804003,110.478049,Madurejo,5458
222,Pentingsari,-7.639965,110.430702,Umbulharjo,23824
223,"Pereng ""Abyudaya Dahayu""",-7.811366,110.507249,Sumberharjo,259
224,Pesona Lembah Krasak Jlapan,-7.663235,110.30037,Pondokrejo,5986
225,Plalangan,-7.681544,110.368133,Pandowoharjo,1278
226,Plempoh,-7.774833,110.488974,Dawaung,2987
227,Ploso Kuning,-7.627109,110.363485,Bangun Kerto,6652
228,Pulesari,-7.625874,110.371732,Wono Kerto,51485
229,Pulewulung,-7.625533,110.369347,Bangun Kerto,2430
230,Puri Mataram,-7.719445,110.349411,Triadi,75552
231,Sambirejo Breksi,-7.780311,110.505342,Sambirejo,434
232,Sambe Rembe,-7.672234,110.400913,Candibinangun,3910
233,Sangurejo,-7.650584,110.371121,Wono Kerto,6685
234,Sawahan Lor,-7.711554,110.436655,Wedomertani,224
235,Sendang Penjalin,-7.709608,110.269294,Sendangrejo,410
236,Sidomulyo,-7.770007,110.476781,Tirtomartani,84912
237,Sukunan,-7.783613,110.336435,Banyuraden,5929
238,Taman Djoyo Dikraman,-7.67344,110.325631,Mororejo,274
239,Tanjung,-7.704653,110.379959,Donoharjo,522
240,Tegal Arum,-7.804604,110.326605,Jl. Tegal Arum,0
241,Tegal Loegood,-7.61542,110.403061,Girikerto,10522
242,Turgo-Merapi,-7.586675,110.423998,Hargobinangun,3114
243,Watu Ledhek,-7.716259,110.389845,Sardonoharjo,7916
244,Wisata Bukit Mintorogo,-7.805103,110.533842,Gayamharjo,3435
245,Hyatt Golf,-7.740344,110.3742,Sariharjo,16870
246,Merapi Golf,-7.621548,110.44707,Kepuharjo,24444
247,Gor UNY,-7.776673,110.383987,Caturtunggal,101558
248,Gor Waguwoharjo,-7.750555,110.418221,Maguwoharjo,108826
249,Klebengan,-7.766859,110.386267,Caturtunggal,0
250,Omah Salak Turi,-7.644786,110.371129,Wono Kerto,3537
251,Kedai Kopi Merapi,-7.60258,110.445831,Kepuharjo,293273
252,Obelix Hills,-7.806309,110.518469,Wukirharjo,254767
253,Studio Alam Gamplong,-7.805785,110.236766,Sumberrahayu,159605
